description_en	spell_ids	description_zh
Warrior goes on a rampage, increasing attack power by $30032s1 and causing most successful melee attacks to increase attack power by an additional $30032s1.  This effect will stack up to $30032u times.  Lasts $d.  This ability can only be used after scoring a critical hit.	30033	
Reduces the casting time of your Howl of Terror spell by $/1000;S1 sec.	30054,30057	
Increases the damage of Bane of Agony, Bane of Doom, Siphon Life, Corruption and Seed of Corruption by $s1% and reduces the chance your Affliction spells will be dispelled by an additional $s3%.	30060,30061,30062,30063,30064	
Shadow energy slowly destroys the target, causing $o1 damage over $d.  In addition, if the Unstable Affliction is dispelled it will cause $*9;s1 damage to the dispeller and silence them for $31117d.	30108,30404,30405	
Increases the effectiveness of your Demon Armor and Fel Armor spells by $s1%.	30143,30144,30145	
Summons a Felguard under the command of the Warlock.	30146	
Charge an enemy, causing $30153s2 damage and stunning it for $30153d.	30151	
Right Click to summon and dismiss your tiger cub.	30152	
Right Click to summon and dismiss your hippogryph hatchling.	30156	
Your offensive spell crits will increase your chance to get a critical strike with melee attacks by $30165s1% for $30165d.	30160,30165	
Summons and dismisses a rideable turtle. It may be slow, but it gets you off your feet!	30174	
Charge an enemy, causing $30195s2 damage and stunning it for $30195d.	30194	
Charge an enemy, causing $30197s2 damage and stunning it for $30197d.	30198	
A sweeping attack that does the Felguard's weapon damage plus $s1 to the target and his nearest ally.	30223,47994	
Increases melee and spell critical strike chance for you and your summoned demon by $s1%.	30242,30245,30246,30247,30248	
Shadowfury is unleashed, causing $s1 Shadow damage and stunning all enemies within $a1 yds for $d.	30283,30413,30414,47846,47847,84724,84725	
Your Shadow Bolt and Incinerate spells gain an additional $s1% of your bonus spell damage effects.	30288,30289,30290,30291,30292	
Gives your Shadow Bolt, Shadowburn, Soul Fire, Incinerate, Searing Pain and Conflagrate spells a $h% chance to return health equal to $s1% of the damage caused.	30293,30295,30296	
After being hit with a Shadow or Fire spell, you have a $h% chance to become immune to Shadow and Fire spells for $30300d.	30299,30301,30302	
Reduces the chance you'll be critically hit by melee and spells by $s1% and reduces all damage your summoned demon takes by $s2%.	30319,30320,30321	
When you gain mana from Drain Mana or Life Tap spells, your pet gains $s1% of the mana you gain.	30326,30327,30328	
Instantly attack the target causing ${$AP*$m1/100} damage.  In addition, the next $30339n successful melee attacks will restore $30340s1 health.  This effect lasts $30339d.  Damage is based on your attack power.	30335	
Allows an engineer to make bombs and gizmos that very often work as intended up to a maximum potential skill of 375.	30350	
Slam the target with your shield, causing $s2 damage, modified by your shield block value, and dispels $s1 magic effect on the target.  Also causes a high amount of threat.	30356,47487,47488	
Steals a beneficial magic effect from the target.  This effect lasts a maximum of 2 min.	30449	
Blasts the target with energy, dealing $s1 Arcane damage.  Each time you cast Arcane Blast, the casting time is reduced while mana cost is increased.  Effect stacks up to $36032u times and lasts $36032d.	30451,84648,84649,84650,84651,84652,84653,84654	
Deals $s1 Frost damage to an enemy target.  Causes triple damage against Frozen targets.	30455	
Causes $34913s1 Fire damage when hit, increases your chance to critically hit with spells by $s3%, and reduces the chance you are critically hit by $s2%.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $d.	30482	
Regenerate mana equal to $s1% of your Intellect every 5 sec, even while casting.	30664,30665,30666,30667,30668,33597,33599,33956	
Reduces the chance you will be critically hit by melee and ranged attacks by $s1%, and receiving direct damage has a $h% chance to grant you the Focused Casting effect for $29063d. Focused Casting prevents you from losing casting time on Shaman spells when taking damage.	30669,30670,30671	
Increases your chance to hit with spells by $s1% and reduces the threat caused by Fire, Frost and Nature spells by $s2%.	30672,30673,30674	
Gives your Molten Blast, Lightning Bolt and Chain Lightning spells a $s1% chance to cast a second, similar spell on the same target at no additional cost that causes half damage and no threat.	30675,30678,30679,30680,30681	
Summons a Totem of Wrath with $s1 health at the feet of the caster.  The totem increases the chance to hit and critically strike with spells by $30708s1% for all party and raid members within $30708a1 yards.  Lasts $d.  \n\nLearning this talent also causes your Fire Elemental Totem to gain the Totem of Wrath effect.	30706	
Allows one-hand and off-hand weapons to be equipped in the off-hand.\n\nAdditionally, your Lightning Bolt and Molten Blast spells no longer delay your next melee swing, but deal $84647s1% less damage if cast within $84647d after a melee attack.	30798	
Causes your critical hits with melee attacks to increase all party and raid members' melee attack power by $30803s1 if within $30803a1 yards of the Shaman.  Lasts $30803d.	30802	
Causes your critical hits with melee attacks to increase all party and raid members' melee attack power by $30804s1 if within $30804a1 yards of the Shaman.  Lasts $30804d.	30808	
Causes your critical hits with melee attacks to increase all party and raid members' melee attack power by $30805s1 if within $30805a1 yards of the Shaman.  Lasts $30805d.	30809	
Causes your critical hits with melee attacks to increase all party and raid members' melee attack power by $30806s1 if within $30806a1 yards of the Shaman.  Lasts $30806d.	30810	
Causes your critical hits with melee attacks to increase all party and raid members' melee attack power by $30807s1 if within $30807a1 yards of the Shaman.  Lasts $30807d.	30811	
Reduces the mana cost of your instant cast Shaman spells by $s1% and increases your spell damage and healing by an amount equal to $s2% of your attack power.	30812,30813,30814	
Increases your chance to hit with all weapons by an additional $s1%.	30816,30818,30819	
Reduces all damage taken by $s2% and causes your successful melee attacks to regenerate ${($AP/12)*$COND($GT($HND,1),$MWS,(($MWS+$OWS)/2)/1.4)} mana (based on weapon speed and attack power).  Lasts $d.	30823	
Reduces all damage taken by $30823s2% and gives your successful melee attacks a chance to regenerate mana equal to $30823s1% of your attack power. This spell is usable while stunned. Lasts $30823d.	30824	
Reduces the duration of any Silence or Interrupt effects used against the Shaman by $s1%. This effect does not stack with other similar effects.	30864,30865,30866	
Increases your spell damage and healing by an amount equal to $s1% of your Intellect.	30867,30868,30869	
Increases the amount healed by your Chain Heal spell by $s1%.	30872,30873	
Regenerates $o1% of your total health and mana over $d.	30874	
Whenever a damaging attack is taken that reduces you below 30% health, you have a $h% chance to heal $s1% of your total health and reduce your threat level on that target.  5 second cooldown.	30881,30883,30884,30885,30886	
Reduces the chance you are critically hit by melee and ranged attacks by $s2% and increases the threat reduction of your Feint ability by $s1%.	30892,30893	
Increases your Stealth detection and reduces the chance you are hit by spells and ranged attacks by $s2%.	30894	
Increases your Stealth detection and reduces the chance you are hit by spells and ranged attacks by $s2%.  More effective than Heightened Senses (Rank 1).	30895	
Increases your attack power by $s1%.	30902,30903,30904,30905,30906	
Reduces your chance to be dodged or parried by ${$m1/4}.2%.	30919,30920	
Finishing move that causes damage per combo point and converts each extra point of energy into $f1 additional damage.  Damage is increased by your attack power.\n   1 point  : 199-259 damage\n   2 points: 346-406 damage\n   3 points: 493-553 damage\n   4 points: 640-700 damage\n   5 points: 787-847 damage	31018	
Increases your total Stamina by $s1% and your total Agility by $s2%.	31122,31123	
Gives your Sinister Strike, Backstab, Gouge and Shiv abilities a $h% chance to Daze the target for $31125d.	31124,31126	
A concussive strike that reduces movement speed by $s1%.	31125	
Increases your chance to resist Stun and Fear effects by an additional $s1%.	31130,31131	
Increases your chance to resist movement impairing effects by $s1% and increases your movement speed by $s3%.  This does not stack with other movement speed increasing effects.	31208,31209	
Increases your chance to avoid area of effect attacks by an additional $s1%.	31211,31212,31213	
Increases your total Agility by $s1% and increases the percentage damage bonus of Backstab and Hemorrhage by an additional $s2%.	31216,31217,31218,31219,31220	
Attacks made while stealthed and for 6 seconds after breaking stealth cause an additional $s1% damage.	31221,31222,31223	
Instantly removes all existing harmful spell effects and increases your chance to resist all spells by $s1% for $d.  Does not remove effects that prevent you from using Cloak of Shadows.	31224	
Reduces the chance your poisons will be resisted by $s1%, increases your chance to resist Poison effects by an additional $s2%, and gives Envenom a $s3% chance to not consume Deadly Poison.	31226,31227	
You have a $s1% chance that an attack which would otherwise kill you will instead reduce you to 10% of your maximum health, unless the attack is too devastating. In addition, all damage taken will be reduced by an amount equal to twice your dodge chance, up to 90%, for $45182d.  This effect cannot occur more than once per minute.	31228,31229,31230	
Your finishing moves increase the damage of all your offensive abilities by $31234s1% for $31234d.	31233	
Your finishing moves increase the damage of all your offensive abilities by $31235s1% for $31235d.	31239	
Your finishing moves increase the damage of all your offensive abilities by $31236s1% for $31236d.	31240	
Your finishing moves increase the damage of all your offensive abilities by $31237s1% for $31237d.	31241	
Your finishing moves increase the damage of all your offensive abilities by $31238s1% for $31238d.	31242	
All healing effects on you are increased by $s2%.  In addition, your finishing moves cost $s1% less Energy when they fail to hit.	31244,31245	
Search 5 ore of a base metal for precious gems.  This will destroy the ore in the process.	31252	
Conversion of these items into spellcloth can only be done inside of Netherstorm and only once in a while can the energies of netherstorm be used in this way.   Draining power to create the spellcloth will bring the wrath of netherstorm on you.	31373	
Decreases all physical damage taken by $s1%.	31380,31382,31383,31384,31385	
Your Arcane Intellect and Arcane Brilliance spells also increase the target's maximum mana by $s1%.	31569,31570	
Increases the critical strike chance of any spell cast while Clearcasting by $s1%.	31571,31572,31573	
Reduces all damage taken by $s1%, and for $46989d after casting Blink, your chance to be hit by all attacks and spells is reduced by $46989s1%.	31574,31575	
Your Arcane Missiles spell gains an additional $*5;s1% of your bonus spell damage effects, but mana cost is increased by $s2%.	31579,31582,31583	
Increases spell damage by up to $s1% of your total Intellect.	31584,31585,31586,31587,31588	
Reduces target's movement speed by $s1%, increases the time between ranged attacks by $s2% and increases casting time by $s3%. If the target is immune to movement speed reductions this spell enters a 2 minute cooldown and still applies the other effects.  Lasts $d.  Slow can only affect one target at a time.	31589	
Increases all spell damage caused by $s1% and all spell damage taken by $s2%.	31638,31639,31640	
Gives you a $h% chance when hit by a melee or ranged attack to increase your movement speed by $31643s1% and dispel all movement impairing effects.  This effect lasts $31643d.	31641,31642	
Gives you a chance when hit by a melee or ranged attack to increase your movement speed by $31643s1% and dispel all movement impairing effects.  This effect lasts $31643d.	31643	
Your Fireball spell gains an additional $s1% of your bonus spell damage effects.	31656,31657,31658,31659,31660	
Targets in a cone in front of the caster take $s1 Fire damage and are Disoriented for $d.  Any direct damaging attack will revive targets.  Turns off your attack when used.	31661,33041,33042,33043,42949,42950	
Reduces the damage taken by Frost and Fire effects by $s1%.	31667,31668,31669	
Reduces the cooldown of your Cone of Cold, Cold Snap, Ice Barrier and Ice Block spells by $s1%.	31670,31672	
Increases all Frost damage you cause by $s3% and reduces the chance melee and ranged attacks will hit you by $s1%.	31674,31675,31676,31677,31678	
Increases damage of all spells against targets with less than 20% health by $s1%.	31679,31680	
Your Frostbolt spell gains an additional $s1% of your bonus spell damage effects and an additional $s2% chance to critically strike.	31682,31683,31684,31685,31686	
Summon a Water Elemental to fight for the caster for $d.	31687	
A passive ability that gives the Paladin mana when healed by other friendly targets' spells.  The amount of mana gained is equal to $s1% of the amount healed.	31785,33776	
Come to the defense of a friendly target, commanding up to 3 enemies attacking the target to attack the Paladin instead.	31789	
Fills the Paladin with holy power, granting each melee attack a chance to cause $31803o1 Holy damage over $31803d.  This effect can stack up to $31803u times.  Only one Seal can be active on the Paladin at any one time.  Lasts $d.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $31804s1 Holy damage per application of Holy Vengeance.	31801,84445	
Increases the radius of your Auras to 40 yards.	31821	
Increases your resistance to Curse and Disease effects by $s1%.	31822,31823,31824	
Reduces the mana cost of your Cleanse, Purify and Consecration spells by $s1% and increases the critical strike chance of your Exorcism and Holy Wrath spells by $s2%. Additionally, hitting an enemy with Exorcism or Holy Wrath increases the critical effect chance of your next healing spell by $84530s1%.	31825	
Reduces the mana cost of your Cleanse, Purify and Consecration spells by $s1% and increases the critical strike chance of your Exorcism and Holy Wrath spells by $s2%. Additionally, hitting an enemy with Exorcism or Holy Wrath increases the critical effect chance of your next healing spell by $84531s1%.	31826	
All attacks against you have a $h% chance to cause half damage, and your resistances are increased by $s2.	31828,31829,31830	
Gives your Holy Light spell a $h% chance to reduce the cast time of your next Holy Light spell by $/1000;31834S1 sec.  This effect lasts $31834d.	31833,31835,31836	
Gives your Holy Light spell a chance to reduce the cast time of your next Holy Light spell by $/1000;S1 sec.  This effect lasts $31834d.	31834	
Increases your spell damage and healing by $s1% of your total Intellect.	31837,31838,31839,31840,31841	
Increases the casting speed of all Paladin spells by $s1% for $d.  Causes Forebearance, preventing the use of Divine Shield, Divine Protection, Hand of Protection again for $25771d.	31842	
Increases your resistance to Stun effects by an additional $s1% and reduces the chance your spells will be dispelled by an additional $s2%.	31844,31845	
All spell damage taken is reduced by $s1%.	31846,31847	
Increases your total Stamina by $s3%, reduces the cooldown of your Divine Shield spell by $/1000;S1 sec.	31848,31849	
When you have less than 35% health or when an attack brings you under 35% health, all damage taken is reduced by $s1%.	31850,31851,31852,31853,31854	
Reduces your chance to be dodged or parried by ${$m1/4}.2% and increases your total Stamina by $s2%.	31858,31859,31860,31861,31862	
Increases all damage caused against Humanoids, Demons, Undead and Elementals by $s1%.	31866,31867,31868	
The amount of damage caused by targets affected by Sanctity Aura is increased by $s1%.	31869,31870	
Melee and ranged critical strikes against you cause $s1% less damage.	31871,31872,31873	
Gives your Judgement spell a $s1% chance to return 80% of the mana cost of the judged seal, additionally your Crusader Strike has a $s2% chance to refresh all Judgements on the target.	31876,31877,31878	
Increases the critical strike chance of all Judgements capable of a critical hit by $s1% and reduces threat caused by all actions by $s2% except when under the effects of Righteous Fury.	31879,31880,31881,31882,31883	
Increases all damage caused by $s1% for $d.  Causes Forebearance, preventing the use of Divine Shield, Divine Protection, Hand of Protection again for $25771d.	31884	
All melee attacks deal additional Holy damage equal to $31893s1% of normal weapon damage, but the Paladin loses health equal to $s2% of the total damage inflicted.\n\nUnleashing this Seal's energy will judge an enemy, instantly causing $31898s1 Holy damage at the cost of health equal to 33% of the damage caused.	31892	
Fills the Paladin with the spirit of justice for $d, giving each melee attack a chance to stun for $20170d.  Only one Seal can be active on the Paladin at any one time.\n\nUnleashing this Seal's energy will judge an enemy for $20184d, preventing them from fleeing and limiting their movement speed.  Your melee strikes will refresh the spell's duration.  Only one Judgement per Paladin can be active at any one time.	31895	
Unleashing this Seal's energy will judge an enemy, instantly causing $31898s1 Holy damage at the cost of health equal to 33% of the damage caused.	31898	
Hurls a holy shield at the enemy, dealing $s1 Holy damage, Dazing them and then jumping to additional nearby enemies.  Affects $x1 total targets.  Lasts $d.	31935,32699,32700	
Increases your chance to critically hit with all spells and melee attacks by $s1% and reduces the chance your Seals and Crusader Strike will be dispelled by $s2%.	32043,35396,35397	
Instantly attack with both weapons.  In addition, the next 2 sources of Nature damage dealt to the target are increased by $17364s1%.  Lasts $17364d.	32175,32176	
Increases melee, ranged, and spell casting speed by $s1% for all party and raid members.  Lasts $d.\n\nAllies receiving this effect will become Exhausted and unable to benefit from Heroism or Bloodlust again for 10 min.	32182	
Increases the mounted speed by $s1% for all party and raid members within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.  This does not stack with other movement speed increasing effects.	32223	
Reduces the damage your summoned demon takes from creature area of effect attacks by an additional $s1%.	32233	
Summons and dismisses a rideable Golden Gryphon mount.  This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32235	
Summons and dismisses a rideable Ebon Gryphon.  This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32239	
Summons and dismisses a rideable Snowy Gryphon.  This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32240	
Summons and dismisses a rideable Swift Blue Gryphon mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32242	
Summons and dismisses a rideable Tawny Wind Rider mount.  This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32243	
Summons and dismisses a rideable Blue Wind Rider mount.  This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32244	
Summons and dismisses a rideable Green Wind Rider mount.  This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32245	
Summons and dismisses a rideable Swift Red Wind Rider mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32246	
Creates a portal, teleporting group members that use it to Exodar.	32266	
Creates a portal, teleporting group members that use it to Silvermoon.	32267	
Teleports the caster to Exodar.	32271	
Teleports the caster to Silvermoon.	32272	
Summons and dismisses a rideable Swift Red Gryphon mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32289	
Summons and dismisses a rideable Swift Green Gryphon mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32290	
Summons and dismisses a rideable Swift Purple Gryphon mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32292	
Summons and dismisses a rideable Swift Green Wind Rider mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32295	
Summons and dismisses a rideable Swift Yellow Wind Rider mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32296	
Summons and dismisses a rideable Swift Purple Wind Rider mount.    This mount can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32297	
Right Click to summon and dismiss your Netherwhelp.	32298	
Summons and dismisses a rideable phoenix.   Can only be summoned in Outland or Northrend. This mount increases speed depending on your Riding Skill.	32345	
Dispels magic in a $a1 yard radius, removing $s1 harmful $lspell:spells; from each friendly target and $s1 beneficial $lspell:spells; from each enemy target.  Affects a maximum of $i friendly targets and $i enemy targets.  This dispel is potent enough to remove Magic effects that are normally undispellable.	32375	
A word of dark binding that inflicts $s1 Shadow damage to the target.  If the target is not killed by Shadow Word: Death, the caster takes damage equal to the damage inflicted upon the target.	32379,32996,48157,48158	
Your Corruption spell gains an additional $*6;s1% of your bonus spell damage effects, and your Seed of Corruption requires $s2% less damage to trigger its explosion.	32381,32382,32383	
Your Corruption, Bane of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by $32386s1%.	32385	
Your Corruption, Bane of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by $32389s1%.	32387	
Your Corruption, Bane of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by $32391s1%.	32392	
Your Corruption, Curse of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by $32390s1%.	32393	
Your Corruption, Curse of Agony, Siphon Life and Seed of Corruption spells also cause the Shadow Embrace effect, which reduces physical damage caused by $32391s1%.	32394	
Increases the damage bonus effect of your Curse of the Elements spell by an additional $s1%.	32477,32483,32484	
Heals a friendly target and the caster for $s1.  Low threat.	32546,48119,48120	
Greatly increases the morale of party members, giving them $s1 mana every 5 sec.  Effect lasts $d.	32548	
Allows a leatherworker to make master quality leather armors, up to a maximum potential skill of 375.	32549	
Your finishing moves can no longer be dodged, and the damage dealt by your Sinister Strike, Backstab, Shiv and Gouge abilities is increased by $s2%.	32601	
Finishing move that consumes your Deadly Poison doses on the target and deals instant poison damage. One dose is consumed for each combo point.  Following the attack you have an additional $s3% chance to apply poisons for 1 sec per dose:\n  1 dose:  ${$m2*1+$AP*0.03} damage\n  2 doses: ${$m2*2+$AP*0.06} damage\n  3 doses: ${$m2*3+$AP*0.09} damage\n  4 doses: ${$m2*4+$AP*0.12} damage\n  5 doses: ${$m2*5+$AP*0.15} damage	32645	
Master skill in skinning the hides from beasts for use in Leatherworking.  Gives a potential skinning skill of 375.  Requires a Skinning Knife.	32678	
Finishing move that consumes your Deadly Poison doses on the target and deals instant poison damage.  One dose is consumed for each combo point:\n  1 dose:  ${$m2*1+$AP*0.03} damage\n  2 doses: ${$m2*2+$AP*0.06} damage\n  3 doses: ${$m2*3+$AP*0.09} damage\n  4 doses: ${$m2*4+$AP*0.12} damage\n  5 doses: ${$m2*5+$AP*0.15} damage	32684	
Transmutes gems and elemental forces into an Earthstorm Diamond.	32765	
Transmutes gems and elemental forces into a Skyfire Diamond.	32766	
Brings party members within $a1 yards back to life with $s1 health and $q1 mana.  Cannot be cast when in combat.	32841	
The Felguard's damaging melee attacks cause a demonic frenzy, increasing attack power by $32851s1% for $32851d.  This effect can stack up to $32851u times.	32850,32851	
Power infuses the target's party, increasing their Spirit by $s1 for $d.	32999	
Right Click to summon and dismiss a Magical Crawdad.	33050	
Summons the Mighty Mr. Pinchy.	33057	
Blasts the target with Holy energy, causing $33073s1 Holy damage to an enemy, or $33074s1 healing to an ally.	33072,33073,33074	
Places a spell on the target that heals them for $s1 the next time they take damage.  When the heal occurs, Prayer of Mending jumps to a party or raid member within $41635a1 yards.  Jumps up to $n times and lasts $41635d after each jump.  This spell can only be placed on one target at a time.	33076	
Critical hits made against you have a $h% chance to prevent you from being critically hit again for $33143d.	33142,33145,33146	
Critical hits made against you have a chance to prevent you from being critically hit again for $33143d.	33143	
Your spell criticals have a $h% chance to cause your next Smite spell to be instant cast, cost no mana but be incapable of a critical hit.  This effect lasts $33151d.	33150,33154	
Your spell criticals have a chance to cause your next Smite or Flash Heal spell to be instant cast, cost no mana but be incapable of a critical hit.  This effect lasts $33151d.	33151	
Allows your mount to fly in Northrend.	33153	
Your Greater Heal spell gains an additional $s1% and your Flash Heal and Binding Heal gain an additional $s2% of your bonus healing effects.	33158,33159,33160,33161,33162	
Reduces the mana cost of your Dispel Magic, Cure Disease, Abolish Disease and Mass Dispel spells by $s1%.	33167,33171,33172	
Increases the effect of Divine Spirit and Prayer of Spirit by $s3% and they now also increase the target's spell damage and healing by an amount equal to $s1% of their total Spirit.	33174,33182	
Your Mind Blast, Mass Dispel, and damaging Holy spells have an additional $s2% chance to hit.  In addition, your Mass Dispel cast time is reduced by $/1000;S1 sec.	33186,33190	
Your Shadow Word: Pain, Mind Flay and Vampiric Touch spells also cause the target to take an additional $33196s1% spell damage.	33191	
Your Shadow Word: Pain, Mind Flay and Vampiric Touch spells also cause the target to take an additional $33197s1% spell damage.	33192	
Your Shadow Word: Pain, Mind Flay and Vampiric Touch spells also cause the target to take an additional $33198s1% spell damage.	33193	
Your Shadow Word: Pain, Mind Flay and Vampiric Touch spells also cause the target to take an additional $33199s1% spell damage.	33194	
Your Shadow Word: Pain, Mind Flay and Vampiric Touch spells also cause the target to take an additional $33200s1% spell damage.	33195	
Causes $s1% of the damage absorbed by your Power Word: Shield to reflect back at the attacker.  This damage causes no threat.	33201,33202,33203,33204,33205	
Instantly reduces a friendly target's threat by $44416s1%, reduces all damage taken by $s1% and increases resistance to Dispel mechanics by $s2% for $d.	33206	
Reduces the mana cost of your Mind Blast, Mind Control and Mind Flay spells by $s1%.	33213,33214,33215	
Increases the critical strike chance of your Mind Blast and Shadow Word: Death spells and the effect of Psionic Overload by $s1%.	33221,33222,33223,33224,33225	
Allows a cook to make amazing recipes up to a maximum potential skill of 375.	33359	
Increases your Intellect by $s1% and your spell damage and healing by $s2% of your total Intellect.	33589,33590,33591	
Increases your chance to hit with all attacks and spells and reduces the chance you'll be hit by spells by $s1%.	33592,33596	
Your Faerie Fire spell also increases the chance the target will be hit by melee and ranged attacks by $s1%.	33600,33601,33602	
Your Starfire spell gains an additional $s1% and your Wrath gains an additional $s2% of your bonus damage effects.	33603,33604,33605,33606,33607	
Causes a percentage of the damage absorbed by your Power Word: Shield to reflect back at the attacker. This damage causes no threat.	33619	
Summons and dismisses a rideable Swift Pink Hawkstrider.   This mount increases speed depending on your Riding Skill.	33660	
Teleports the caster to Shattrath.	33690,35715	
Creates a portal, teleporting group members that use it to Shattrath.	33691,35717	
Increases melee attack power by $s1 and your damage and healing from spells and effects by up to $s2, but reduces healing effects on you by $23230s1%.  Lasts $d.	33697	
Taunts the creature, increasing the chance that it will attack the Felguard.	33698,33699,33700,47993	
Taunts all enemies within $a1 yards, increasing the chance that they will attack the Voidwalker and reducing chance to hit by $s2% for $d.  More effective than Suffering (Rank 5).	33701	
Increases your damage and healing from spells and effects by up to $s2, but reduces healing effects on you by $23230s1%.  Lasts $d.	33702	
Conjures $s1 $lcroissant:croissants;, providing the mage and $ghis:her; allies with something to eat.\n\nConjured items disappear if logged out for more than 15 minutes.	33717	
The caster is surrounded by $n globes of water, granting $s2 mana per 5 sec.  When a spell, melee or ranged attack hits the caster, $33737s1 mana is restored to the caster. This expends one water globe.  Only one globe will activate every few seconds.  Lasts $d.  Only one Elemental Shield can be active on the Shaman at any one time.	33736	
Lacerates the enemy target, dealing $s2 bleed damage and making them bleed for $o damage over $d and causing a high amount of threat.  Damage increased by attack power.  This effect stacks up to $u times on the same target.	33745	
Heals the target for $o1 over $d.  When Lifebloom completes its duration or is dispelled, the target instantly heals themself for $s2.  This effect can stack up to $u times on the same target.	33763	
Tosses the enemy target into the air, preventing all action but making them invulnerable for up to $d.  Only one target can be affected by your Cyclone at a time.	33786	
Summons $s1 treants to attack enemy targets for $d.	33831	
Increases your chance to resist Stun and Fear mechanics by $s1%.	33851,33852,33957	
Increases all attributes by $s1% and reduces the chance you'll be critically hit by melee attacks by $s2%.	33853,33855,33856	
While in Cat Form, Bear Form, or Dire Bear Form, increases your damage from melee critical strikes by $s1% and your chance to avoid area effect attacks by $s2%.	33859,33866,33867,33868,33869	
Increases your healing spells by up to $s1% of your Agility, and increases healing done to you by $47179s1% while in Cat form.	33872	
Increases your healing spells by up to $s1% of your Agility, and increases healing done to you by $47180s1% while in Cat form.	33873	
Mangle the target for $s3% normal damage plus ${$m1*$m3/100} and causes the target to take $s2% additional damage from Shred and bleed effects for $d.  Awards $34071s1 combo $lpoint:points;.	33876,33982,33983	
Mangle the target for $s3% normal damage plus ${$m1*$m3/100} and causes the target to take $s2% additional damage from Shred and bleed effects for $d.	33878,33986,33987	
Your Healing Touch spell gains an additional $s1% of your bonus healing effects.	33879,33880	
Your critical strike chance with all spells is increased by $s2% and critical strikes against you give you the Natural Perfection effect reducing all damage taken by $45281s1%.  Stacks up to $45281u times.  Lasts $45281d.	33881	
Your critical strike chance with all spells is increased by $s2% and critical strikes against you give you the Natural Perfection effect reducing all damage taken by $45282s1%.  Stacks up to $45282u times.  Lasts $45282d.	33882	
Your critical strike chance with all spells is increased by $s2% and critical strikes against you give you the Natural Perfection effect reducing all damage taken by $45283s1%.  Stacks up to $45283u times.  Lasts $45283d.	33883	
The bonus healing effects of your healing over time spells is increased by $s1%.	33886,33887,33888,33889,33890	
Shapeshift into the Tree of Life.  While in this form you increase healing received by $5420s1% of your total Spirit for all party members within 45 yards, your movement speed is reduced by $5420s2%, and you can only cast Swiftmend, Innervate, Nature's Swiftness, Barkskin, non-healing Restoration spells, and healing over time spells, but the mana cost of these spells is reduced by $5420s3%.\n\nThe act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.	33891	
Mangle the target, inflicting damage and causing the target to take additional damage from bleed effects for $33878d.  This ability can be used in Cat Form or Dire Bear Form.	33917	
Shapeshift into flight form, increasing movement speed by $33948s2% and allowing you to fly.  Cannot use in combat.  Can only use this form in Outland.\n\nThe act of shapeshifting frees the caster of Polymorph and Movement Impairing effects.	33943	
Permanently enchant a piece of chest armor to grant +15 Spirit.  Requires a level 35 or higher item.	33990	
Permanently enchant a piece of chest armor to grant 7 Mana every 5 seconds.  Requires a level 35 or higher item.	33991	
Permanently enchant chest armor to increase resilience rating by 15.  Requires a level 35 or higher item.	33992	
Permanently enchant gloves to grant 10 critical strike rating.  Requires a level 35 or higher item.	33993	
Permanently enchant gloves to increase hit rating by 15.   Requires a level 35 or higher item.	33994	
Permanently enchant gloves to grant +15 Strength.  Requires a level 35 or higher item.	33995	
Permanently enchant gloves to grant 26 attack power.  Requires a level 35 or higher item.	33996	
Permanently enchant gloves to increase spell power by 20.  Requires a level 35 or higher item.	33997	
Permanently enchant gloves to increase spell power by 19.  Requires a level 35 or higher item.	33999	
Permanently enchants bracers to increase Intellect by 12.  Requires a level 35 or higher item.	34001	
Permanently enchants bracers to increase attack power by 24.  Requires a level 35 or higher item.	34002	
Permanently enchant a cloak to increase spell penetration by 20.  Requires a level 35 or higher item.	34003	
