description_en	description_zh
Conjures a mana sapphire that can be used to instantly restore $42987s1 mana.  3 charges.	制造一颗法力蓝宝石，可以立即恢复$42987s1点法力值。共有3次充能。
Increases Armor by $s1 and Frost resistance by $s3.   If an enemy strikes the caster, they may have their movement slowed by $7321s1% and the time between their attacks increased by $7321s2% for $7321d.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $d.	使护甲提高$s1，冰霜抗性提高$s3。如果敌人击中施法者，其移动速度可能会降低$7321s1%，攻击间隔延长$7321s2%，持续$7321d。同一时间法师只能激活一种护甲法术。持续$d。
Causes $43043s1 Fire damage when hit, increases your chance to critically hit with spells by $43045s3%of your Spirit, and reduces the chance you are critically hit by $43045s2%.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $43045d.	被击中时造成$43043s1点火焰伤害，使你的法术暴击几率提高，数值相当于精神值的$43045s3%，并降低你被暴击的几率$43045s2%。同一时间法师只能激活一种护甲法术。持续$43045d。
Causes $43044s1 Fire damage when hit, increases your chance to critically hit with spells by $43046s3%of your Spirit, and reduces the chance you are critically hit by $43046s2%.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $43046d.	被击中时造成$43044s1点火焰伤害，使你的法术暴击几率提高，数值相当于精神值的$43046s3%，并降低你被暴击的几率$43046s2%。同一时间法师只能激活一种护甲法术。持续$43046d。
Causes $43043s1 Fire damage when hit, increases your critical strike rating by $43045s3% of your Spirit, and reduces the chance you are critically hit by $43045s2%.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $43045d.	被击中时造成$43043s1点火焰伤害，使你的暴击等级提高，数值相当于精神值的$43045s3%，并降低你被暴击的几率$43045s2%。同一时间法师只能激活一种护甲法术。持续$43045d。
Causes $43044s1 Fire damage when hit, increases your critical strike rating by $m3% of your Spirit, and reduces the chance you are critically hit by $43046s2%.  Only one type of Armor spell can be active on the Mage at any time.  Lasts $43046d.	被击中时造成$43044s1点火焰伤害，使你的暴击等级提高，数值相当于精神值的$m3%，并降低你被暴击的几率$43046s2%。同一时间法师只能激活一种护甲法术。持续$43046d。
Nearby fishing nodes appear on the minimap. Only one form of tracking can be active at a time.	在小地图上显示附近的鱼群。同一时间只能激活一种追踪方式。
Right Click to summon and dismiss Toothy the baby crocolisk.	右键点击召唤或解散幼型鳄鱼牙牙。
Right Click to summon and dismiss Muckbreath the baby crocolisk.	右键点击召唤或解散幼型鳄鱼泥泥。
Right Click to summon and dismiss Mojo!	右键点击召唤或解散莫佐！
Begins a ritual that creates a refreshment table.  Raid members can click the table to acquire Conjured Mana Bread.  The tables lasts for $43985d or 50 charges.  Requires the caster and 2 additional party members to complete the ritual.  In order to participate, all players must right-click the refreshment portal and not move until the ritual is complete.	开始一个制造餐桌的仪式。团队成员可以点击餐桌获得制造出的法力面包。餐桌持续$43985d或50次充能。需要施法者和额外2名小队成员来完成仪式。为了参与仪式，所有玩家必须右键点击餐桌传送门并在仪式完成前保持不动。
An amazing machine that allows the Engineer to fly in Outland and Northrend.	一台神奇的机器，允许工程师在外域和诺森德飞行。
An amazing machine that allows the Engineer to fly in Outland and Northrend.  This one is turbo charged.	一台神奇的机器，允许工程师在外域和诺森德飞行。这台是涡轮增压型的。
Heals all nearby group members for $26983s1 every $26983t2 seconds for $26983d.  Druid must channel to maintain the spell.	每$26983t2秒为附近所有小队成员恢复$26983s1点生命值，持续$26983d。德鲁伊必须引导此法术。
Right Click to summon and dismiss a pint-sized pink pachyderm.	右键点击召唤或解散一头粉红色小象。
Gives your Arcane Blast, Arcane Barrage, Fireball, Frostbolt and Frostfire Bolt spells a chance to reduce the channeled duration of the next Arcane Missiles spell by $/1000;44401S1 secs, reduce the mana cost by $s3%, and missiles will fire every .5 secs.	使你的奥术冲击、奥术弹幕、火球术、寒冰箭和霜火之箭法术有一定几率使下一个奥术飞弹法术的引导时间缩短$/1000;44401S1秒，法力消耗降低$s3%，且每0.5秒发射一枚飞弹。
When you absorb damage your spell damage is increased by a percentage of the amount absorbed for $44413d.	当你吸收伤害时，你的法术伤害会提高，数值相当于所吸收伤害的一定百分比，持续$44413d。
When below 35% health all damage taken is reduced by $s1% and your Pyroblast spell's cast time is reduced by ${$44440m2/-1000}.2 secs while the cooldown is increased by ${$44440m3/-1000}.1 secs.	当生命值低于35%时，受到的所有伤害降低$s1%，且炎爆术的施法时间缩短${$44440m2/-1000}.2秒，但冷却时间延长${$44440m3/-1000}.1秒。
Increases your spell critical damage bonus with all spells but your spell criticals cost additional mana.	提高你所有法术的暴击伤害加成，但你的法术暴击会消耗额外的法力值。
The target becomes a Living Bomb, taking $o1 Fire damage over $d.  After $d or when the spell is dispelled, the target explodes dealing $44461s1 Fire damage to all enemies within $44461a1 yards.	目标变成一颗活体炸弹，在$d内受到$o1点火焰伤害。$d后或当法术被驱散时，目标会爆炸，对$44461a1码范围内的所有敌人造成$44461s1点火焰伤害。
The target becomes a Living Bomb, taking $44457o1 Fire damage over $44457d.  After $44457d or when the spell is dispelled, the target explodes dealing $44461s1 Fire damage to all enemies within $44461a1 yards.	目标变成一颗活体炸弹，在$44457d内受到$44457o1点火焰伤害。$44457d后或当法术被驱散时，目标会爆炸，对$44461a1码范围内的所有敌人造成$44461s1点火焰伤害。
Gives your Chill effects a chance to grant you the Fingers of Frost effect, which treats your next spells cast as if the target were Frozen.  Lasts $44544d.	使你的冰冷效果有一定几率让你获得寒冰指效果，使你施放的下几个法术将目标视为已被冻结。持续$44544d。
Stuns the target for $d.  Only usable on Frozen targets.  Deals ${$71757m1*$<mult>} to ${$71757M1*$<mult>} damage to targets permanently immune to stuns.	使目标昏迷$d。只能对被冻结的目标使用。对永久免疫昏迷的目标造成${$71757m1*$<mult>}到${$71757M1*$<mult>}点伤害。
After taking a critical hit you gain the Focused Will effect, reducing all damage taken by $45237s1% and increasing healing effects on you by $45237s2%.  Stacks up to $45237u times.  Lasts $45237d.	在受到暴击后，你获得意志专注效果，受到的所有伤害降低$45237s1%，且受到的治疗效果提高$45237s2%。最多可叠加$45237u次。持续$45237d。
After taking a critical hit you gain the Focused Will effect, reducing all damage taken by $45241s1% and increasing healing effects on you by $45241s2%.  Stacks up to $45241u times.  Lasts $45241d.	在受到暴击后，你获得意志专注效果，受到的所有伤害降低$45241s1%，且受到的治疗效果提高$45241s2%。最多可叠加$45241u次。持续$45241d。
After taking a critical hit you gain the Focused Will effect, reducing all damage taken by $45242s1% and increasing healing effects on you by $45242s2%.  Stacks up to $45242u times.  Lasts $45242d.	在受到暴击后，你获得意志专注效果，受到的所有伤害降低$45242s1%，且受到的治疗效果提高$45242s2%。最多可叠加$45242u次。持续$45242d。
Allows a scribe to create magical writings, up to a maximum potential skill of 75.	允许铭文师制作魔法卷轴，最高可达技能75。
Allows a scribe to create magical writings, up to a maximum potential skill of 150.	允许铭文师制作魔法卷轴，最高可达技能150。
Allows a scribe to create magical writings, up to a maximum potential skill of 225.	允许铭文师制作魔法卷轴，最高可达技能225。
Allows a scribe to create magical writings, up to a maximum potential skill of 300.	允许铭文师制作魔法卷轴，最高可达技能300。
Allows a scribe to create magical writings, up to a maximum potential skill of 375.	允许铭文师制作魔法卷轴，最高可达技能375。
Allows a scribe to create magical writings, up to a maximum potential skill of 450.	允许铭文师制作魔法卷轴，最高可达技能450。
You become encased in a block of ice, protecting you from all physical attacks and spells for $d, but during that time you cannot attack, move or cast spells.  Also causes Hypothermia, preventing you from recasting Ice Block for $41425d.	你被包裹在一块寒冰中，使你免疫所有物理攻击和法术，持续$d，但在此期间你无法攻击、移动或施法。产生低温效果，使你在$41425d内无法再次施放寒冰屏障。
A deadly attack that deals damage plus and heals the Death Knight for a percent of damage done per disease on the target.	一次致命的攻击，造成伤害并为死亡骑士恢复生命值，数值相当于目标身上每个疾病效果所造成伤害的一定百分比。
Shackles the target with frozen chains, reducing their movement by $s1%, and infects them with Frost Fever.  The target regains $s2% of their movement each second for $d.	用冰冷的锁链束缚目标，使其移动速度降低$s1%，并使其感染冰打热。目标每秒恢复$s2%的移动速度，持续$d。
Immediately activates a Blood Rune and converts it into a Death Rune for the next $d.  Death Runes count as a Blood, Frost or Unholy Rune.	立即激活一个鲜血符文并将其转化为死亡符文，持续$d。死亡符文可视为鲜血、冰霜或邪恶符文。
Allows a physician to make and use bandages up to a potential skill of 450.   Cloth used to make bandages is found on humanoids.	允许医生制作并使用绷带，最高可达技能450。制作绷带所需的布料可以从人型生物身上获得。
Grants 190 mana every 5 seconds.	每5秒恢复190点法力值。
Shatters a Void Crystal into two Large Prismatic Shards.	将一个虚空水晶分解为两个大块棱彩碎片。
When activated, all of your spells become instant cast.	激活后，你所有的法术都变为瞬发。
Your melee critical hits Enrage you, increasing all damage caused by $57518s1% for $57518d.  This effect does not stack with Enrage.	你的近战暴击使你进入激怒状态，造成的所有伤害提高$57518s1%，持续$57518d。此效果不与激怒效果叠加。
Your normal melee attacks have a chance to reduce all healing done to the target by $56112s1% for $56112d.  This can stack up to $56112u times.  This occurs more often than Furious Attacks (Rank 1).	你的普通近战攻击有一定几率使目标受到的所有治疗效果降低$56112s1%，持续$56112d。此效果最多可叠加$56112u次。触发几率比狂怒打击（等级1）更高。
Your Heroic Strike, Bloodthirst, and Whirlwind hits have a chance of making your next Slam instant for $46916d.	你的英勇打击、嗜血和旋风斩击中目标后，有一定几率使你的下一次猛击变为瞬发，持续$46916d。
Allows you to equip two-handed axes, maces and swords in one hand.  While you have a two-handed weapon equipped in one hand, your physical damage done is reduced by $49152s1%.	允许你单手装备双手斧、双手锤和双手剑。当你单手装备双手武器时，造成的物理伤害降低$49152s1%。
Instantly Whirlwind up to $50622i nearby targets and for the next $d you will perform a whirlwind attack every $t1 sec.  While under the effects of Bladestorm, you can move but cannot perform any other abilities but you do not feel pity or remorse or fear, you cannot be stopped unless killed, and your movement speed cannot be reduced below $84502s1%.	立即对附近最多$50622i个目标发动旋风斩，在接下来的$d内，你每$t1秒会发动一次旋风斩攻击。在利刃风暴期间，你可以移动但无法使用其他技能，且你免疫恐惧，无法被阻止（除非被杀死），移动速度不会被降低到$84502s1%以下。
Sends a wave of force in front of the warrior, causing ${$m3/100*$AP} damage (based on attack power) and stunning all enemy targets within $a1 yards in a frontal cone for $d.	向战士前方发出一道力量波，造成${$m3/100*$AP}点伤害（基于攻击强度），并使前方锥形区域内$a1码范围内的所有敌人昏迷$d。
Grants the Warlock's summoned demon Empowerment.\n\nImp - Increases the Imp's spell critical strike chance by $54444s1% for $54444d.\n\nVoidwalker - Increases the Voidwalker's health by $54443s2%, and its threat generated from spells and attacks by $54443s2% for $54443d.\n\nSuccubus - Instantly vanishes, causing the Succubus to go into an improved Invisibility state. The vanish effect removes all stuns, snares and movement impairing effects from the Succubus.\n\nFelhunter - Dispels all magical effects from the Felhunter.\n\nFelguard - Increases the Felguard's attack speed by $54508s1% and breaks all stun, snare and movement impairing effects and makes your Felguard immune to them for $54508d.	赋予术士召唤的恶魔能量。\n\n小鬼 - 使小鬼的法术暴击几率提高$54444s1%，持续$54444d。\n\n虚空行者 - 使虚空行者的总生命值提高$54443s2%，且法术和攻击产生的威胁值提高$54443s2%，持续$54443d。\n\n魅魔 - 立即消失，进入强化隐形状态。消失效果会移除魅魔身上的所有昏迷、减速和移动限制效果。\n\n地狱猎犬 - 驱散地狱猎犬身上的所有魔法效果。\n\n恶魔卫士 - 使恶魔卫士的攻击速度提高$54508s1%，并解除所有昏迷、减速和移动限制效果，且使其在$54508d内免疫这些效果。
When you deal damage with Corruption, you have $h% chance to increase your spell casting speed by $64368s1% for $64368d.	当你的腐蚀术造成伤害时，你有$h%的几率使法术施放速度提高$64368s1%，持续$64368d。
When you deal damage with Corruption, you have $h% chance to increase your spell casting speed by $64370s1% for $64370d.	当你的腐蚀术造成伤害时，你有$h%的几率使法术施放速度提高$64370s1%，持续$64370d。
When you deal damage with Corruption, you have $h% chance to increase your spell casting speed by $64371s1% for $64371d.	当你的腐蚀术造成伤害时，你有$h%的几率使法术施放速度提高$64371s1%，持续$64371d。
You devastate the area, causing Corruption (Rank 8) to all targets within 15 yards. In addition, your Corruption spell will do 434 Shadow damage to the target when it finishes its duration.	你蹂躏该区域，对15码范围内的所有目标施加腐蚀术（等级8）。此外，当你的腐蚀术结束时，会向目标造成434点暗影伤害。
You transform into a Demon for $47241d.  This form increases your armor contribution from items by $47241s2%, damage by $47241s3%, reduces the chance you'll be critically hit by melee attacks by $54879s1% and reduces the duration of stun and snare effects by $54817s1%.  You gain some unique demon abilities in addition to your normal abilities.	变身为恶魔，持续$47241d。此形态下你的护甲值从装备中获得的收益提高$47241s2%，伤害提高$47241s3%，被近战攻击暴击的几率降低$54879s1%，且昏迷和减速效果的持续时间缩短$54817s1%。除了普通技能外，你还会获得一些独特的恶魔技能。
Increases the duration of your Immolate by $/1000;47245s2 sec, and you have a $47245h% chance to gain the Molten Core effect when your Corruption deals damage. The Molten Core effect empowers your next 3 Incinerate or Soul Fire spells cast within $47383d.\n\nIncinerate - Increases damage done by $47383s1% and reduces cast time by $47383s3%.\n\nSoul Fire - Increases damage done by $47383s1% and increases critical strike chance by $47383s2%.	使你的献祭持续时间延长$/1000;47245s2秒。当你的腐蚀术造成伤害时，有$47245h%的几率获得熔火之心效果，强化你接下来在$47383d内施放的3个烧尽或灵魂之火法术。\n\n烧尽 - 造成的伤害提高$47383s1%，且施法时间缩短$47383s3%。\n\n灵魂之火 - 造成的伤害提高$47383s1%，且暴击几率提高$47383s2%。
Increases the duration of your Immolate by $/1000;47246s2 sec, and you have a $47246h% chance to gain the Molten Core effect when your Corruption deals damage. The Molten Core effect empowers your next 3 Incinerate or Soul Fire spells cast within $71162d.\n\nIncinerate - Increases damage done by $71162s1% and reduces cast time by $71162s3%.\n\nSoul Fire - Increases damage done by $71162s1% and increases critical strike chance by $71162s2%.	使你的献祭持续时间延长$/1000;47246s2秒。当你的腐蚀术造成伤害时，有$47246h%的几率获得熔火之心效果，强化你接下来在$71162d内施放的3个烧尽或灵魂之火法术。\n\n烧尽 - 造成的伤害提高$71162s1%，且施法时间缩短$71162s3%。\n\n灵魂之火 - 造成的伤害提高$71162s1%，且暴击几率提高$71162s2%。
Increases the duration of your Immolate by $/1000;47247s2 sec, and you have a $47247h% chance to gain the Molten Core effect when your Corruption deals damage. The Molten Core effect empowers your next 3 Incinerate or Soul Fire spells cast within $71165d.\n\nIncinerate - Increases damage done by $71165s1% and reduces cast time by $71165s3%.\n\nSoul Fire - Increases damage done by $71165s1% and increases critical strike chance by $71165s2%.	使你的献祭持续时间延长$/1000;47247s2秒。当你的腐蚀术造成伤害时，有$47247h%的几率获得熔火之心效果，强化你接下来在$71165d内施放的3个烧尽或灵魂之火法术。\n\n烧尽 - 造成的伤害提高$71165s1%，且施法时间缩短$71165s3%。\n\n灵魂之火 - 造成的伤害提高$71165s1%，且暴击几率提高$71165s2%。
When you cast Conflagrate, the cast time and global cooldown of your next three Destruction spells is reduced by $54274s1%. Lasts $54274d.	当你施放燃烧时，你接下来的三个毁灭系法术的施法时间和公共冷却时间缩短$54274s1%。持续$54274d。
When you cast Conflagrate, the cast time and global cooldown of your next three Destruction spells is reduced by $54276s1%. Lasts $54276d.	当你施放燃烧时，你接下来的三个毁灭系法术的施法时间和公共冷却时间缩短$54276s1%。持续$54276d。
When you cast Conflagrate, the cast time and global cooldown of your next three Destruction spells is reduced by $54277s1%. Lasts $54277d.	当你施放燃烧时，你接下来的三个毁灭系法术的施法时间和公共冷却时间缩短$54277s1%。持续$54277d。
Your spell damage is increased by $s2% of your Spirit, and your spell criticals increase your Spirit by $47426s1% for 10 sec.	你的法术伤害提高，数值相当于你精神值的$s2%，且你的法术暴击会使你的精神提高$47426s1%，持续10秒。
Your spell damage is increased by $s2% of your Spirit, and your spell criticals increase your Spirit by $47427s1% for 10 sec.	你的法术伤害提高，数值相当于你精神值的$s2%，且你的法术暴击会使你的精神提高$47427s1%，持续10秒。
Claw the enemy, causing damage.	爪击敌人，造成伤害。
Strangulates an enemy, silencing them for $d.  Non-player victim spellcasting is also interrupted for $32747d.	绞杀敌人，使其沉默$d。非玩家目标的施法也会被打断$32747d。
Chew a limb off the target, stunning for $d and dealing damage.	啃食目标的一肢，使其昏迷$d并造成伤害。
Leap behind the targeted friend or enemy.	跳向友方或敌方目标背后。
Go into a defensive crouch, reducing the damage taken from melee attacks, ranged attacks and spells by $s1% for $d.	进入防御性蜷缩状态，使受到的近战、远程攻击和法术伤害降低$s1%，持续$d。
Smash the target's mind with cold, interrupting spellcasting and preventing any spell in that school from being cast for $d.	用严寒冲击目标的意志，打断其施法，并使其在$d内无法施放该系的法术。
When your Power Word: Shield is completely absorbed or dispelled you are instantly energized with 1.5% of your total mana, and you have a $s2% chance to energize your shielded target with $s1% total mana, $/10;63653s1 rage, $63655s1 energy or $/10;63652s1 runic power. This effect can only occur once every $63853d.	当你的真言术：盾被完全吸收或驱散时，你立即恢复1.5%的总法力值，且你有$s2%的几率使受护盾保护的目标恢复$s1%的总法力值、$/10;63653s1点怒气、$63655s1点能量或$/10;63652s1点符文能量。此效果每$63853d只能触发一次。
When your Power Word: Shield is completely absorbed or dispelled you are instantly energized with 2% of your total mana, and you have a $s2% chance to energize your shielded target with $s1% total mana, $/10;63653s1 rage, $63655s1 energy or $/10;63652s1 runic power. This effect can only occur once every $63853d.	当你的真言术：盾被完全吸收或驱散时，你立即恢复2%的总法力值，且你有$s2%的几率使受护盾保护的目标恢复$s1%的总法力值、$/10;63653s1点怒气、$63655s1点能量或$/10;63652s1点符文能量。此效果每$63853d只能触发一次。
When your Power Word: Shield is completely absorbed or dispelled you are instantly energized with 2.5% of your total mana, and you have a $s2% chance to energize your shielded target with $s1% total mana, $/10;63653s1 rage, $63655s1 energy or $/10;63652s1 runic power. This effect can only occur once every $63853d.	当你的真言术：盾被完全吸收或驱散时，你立即恢复2.5%的总法力值，且你有$s2%的几率使受护盾保护的目标恢复$s1%的总法力值、$/10;63653s1点怒气、$63655s1点能量或$/10;63652s1点符文能量。此效果每$63853d只能触发一次。
Empower your rune weapon, immediately activating all your runes and generating 25 runic power.	符文武器增效，立即激活所有符文并产生25点符文能量。
You disperse into pure Shadow energy, reducing all damage taken by $47585s1%.  You are unable to attack or cast spells, but you regenerate $49766s1% mana every $60069t1 sec for $d. Dispersion can be cast while stunned, feared or silenced and clears all snare and movement impairing effects when cast, and makes you immune to them while dispersed.	你化为纯粹的暗影能量，受到的所有伤害降低$47585s1%。你无法攻击或施法，但每$60069t1秒恢复$49766s1%的法力值，持续$d。消散可以在昏迷、恐惧或沉默状态下施放，施放时会清除所有减速和移动限制效果，并在消散期间免疫这些效果。
Calls upon a guardian spirit to watch over the friendly target. The spirit increases the healing received by the target by $s1%, and also prevents the target from dying by sacrificing itself.  This sacrifice terminates the effect but heals the target of $s2% of their maximum health. Lasts $d.	召唤一个守护之魂监护友方目标。守护之魂使目标受到的治疗效果提高$s1%，并能通过自我牺牲来防止目标死亡。这种牺牲会终止守护效果，但会为目标恢复其最大生命值的$s2%。持续$d。
Calls down a fiery rain to burn enemies in the area of effect for ${$47817m1*4} Fire damage over $47819d.	召唤火焰之雨焚烧区域内的敌人，在$47819d内造成${$47817m1*4}点火焰伤害。
Calls down a fiery rain to burn enemies in the area of effect for ${$47817m1*4} Fire damage over $d.	召唤火焰之雨焚烧区域内的敌人，在$d内造成${$47817m1*4}点火焰伤害。
Drains the soul of the target, causing $o2 Shadow damage over $d.  If the target is at or below 25% health, Drain Soul causes four times the normal damage. If the target dies while being drained, and yields experience or honor, the caster gains a Soul Shard.  Each time the Drain Soul damages the target, it also has a chance to generate a Soul Shard.  Soul Shards are required for other spells.	吸取目标的灵魂，在$d内造成$o2点暗影伤害。如果目标的生命值等于或低于25%，吸取灵魂会造成四倍于平常的伤害。如果目标在被吸取灵魂期间死亡并产生经验或荣誉，施法者将获得一个灵魂碎片。吸取灵魂每次造成伤害时，都有一定几率产生一个灵魂碎片。其他法术需要消耗灵魂碎片。
Curses the target for $d, reducing Arcane, Fire, Frost, Nature, and Shadow resistances by $s1 and increasing magic damage taken by $s2%.  Only one Curse per Warlock can be active on any one target.	诅咒目标，持续$d，使其奥术、火焰、冰霜、自然和暗影抗性降低$s1，并使其受到的魔法伤害提高$s2%。同一时间术士只能在一个目标身上激活一种诅咒。
Creates a Demonic Healthstone that can be used to instantly restore $47874s1 health.\n\nConjured items disappear if logged out for more than 15 minutes.	制造一块恶魔治疗石，可以立即恢复$47874s1点生命值。\n\n制造出的物品如果在离线状态下超过15分钟就会消失。
Creates a Fel Healthstone that can be used to instantly restore $47875s1 health.\n\nConjured items disappear if logged out for more than 15 minutes.	制造一块魔能治疗石，可以立即恢复$47875s1点生命值。\n\n制造出的物品如果在离线状态下超过15分钟就会消失。
Creates a Soul Healthstone that can be used to instantly restore $47877s1 health.\n\nConjured items disappear if logged out for more than 15 minutes.	制造一块灵魂治疗石，可以立即恢复$47877s1点生命值。\n\n制造出的物品如果在离线状态下超过15分钟就会消失。
Inflicts $o1 Fire damage over $d.  When Immolate is removed from the target, it deals $s2 Fire damage to the target.  In addition, your Incinerate spell has a $s3% chance to refresh the duration of your Immolate on the target.	在$d内造成$o1点火焰伤害。当献祭从目标身上消失时，会向其造成$s2点火焰伤害。此外，你的烧尽法术有$s3%的几率刷新目标身上献祭的持续时间。
When you deal damage with your Incinerate or Firebolt spells, you have a $h% chance to increase your Fire damage dealt by $47893s1% for $47893d.  This effect stacks up to $47893u times.	当你的烧尽或火焰箭法术造成伤害时，你有$h%的几率使造成的火焰伤害提高$47893s1%，持续$47893d。此效果最多可叠加$47893u次。
When you deal damage with your Incinerate or Firebolt spells, you have a $h% chance to increase your Fire damage dealt by $47891s1% for $47891d.  This effect stacks up to $47891u times.	当你的烧尽或火焰箭法术造成伤害时，你有$h%的几率使造成的火焰伤害提高$47891s1%，持续$47891d。此效果最多可叠加$47891u次。
Sends a bolt of fire that deals ${$s1+$m3} to ${$s2+$m3} Fire damage and an additional $s4 Fire damage over $d.  If the target is affected by Immolate, the additional damage is increased by $s5%.	发射一枚火焰箭，造成${$s1+$m3}到${$s2+$m3}点火焰伤害，并在$d内额外造成$s4点火焰伤害。如果目标受到献祭影响，则额外伤害提高$s5%。
Sends a bolt of fire that deals ${$47833s1+$47833m3} to ${$47833s2+$47833m3} Fire damage and an additional $47833s4 Fire damage over $47833d.  If the target is affected by Immolate, the additional damage is increased by $47833s5%.	发射一枚火焰箭，造成${$47833s1+$47833m3}到${$47833s2+$47833m3}点火焰伤害，并在$47833d内额外造成$47833s4点火焰伤害。如果目标受到献祭影响，则额外伤害提高$47833s5%。
Sends a bolt of fire that deals ${$47834s1+$47834m3} to ${$47834s2+$47834m3} Fire damage and an additional $47834s4 Fire damage over $47834d.  If the target is affected by Immolate, the additional damage is increased by $47834s5%.	发射一枚火焰箭，造成${$47834s1+$47834m3}到${$47834s2+$47834m3}点火焰伤害，并在$47834d内额外造成$47834s4点火焰伤害。如果目标受到献祭影响，则额外伤害提高$47834s5%。
When your Corruption or Immolate spells deal damage, you have a $h% chance to gain the Shadow and Flame effect, increasing your Shadow and Fire damage by $s2% for $d.	当你的腐蚀术或献祭造成伤害时，你有$h%的几率获得暗影与火焰效果，使你的暗影和火焰伤害提高$s2%，持续$d。
Sends a bolt of Shadow energy at the enemy, causing $s1 to $s2 Shadow damage.	向敌人发射暗影箭，造成$s1到$s2点暗影伤害。
Inflicts $o1 Shadow damage over $d.  Each time the Unstable Affliction is dispelled, it causes $s2 damage to the dispeller and Silences them for $s3 sec.	在$d内造成$o1点暗影伤害。无偿痛苦每次被驱散时，都会对驱散者造成$s2点伤害，并使其沉默$s3秒。
Inflicts $s1 Shadow damage over $d.  Each time the Unstable Affliction is dispelled, it causes $s2 damage to the dispeller and Silences them for $s3 sec.	在$d内造成$s1点暗影伤害。无偿痛苦每次被驱散时，都会对驱散者造成$s2点伤害，并使其沉默$s3秒。
Transmutes Eternal Water to Air.  You have a chance to discover other transmutations when successful.	将永恒水转化为空气。转化成功后有一定几率领悟其他转化配方。
Transmutes Eternal Water to Fire.  You have a chance to discover other transmutations when successful.	将永恒之水转化成永恒之火。如果转化成功，你有一定几率领悟其他的转化配方。
Transmutes Eternal Life to Shadow.	将永恒生命转化成永恒暗影。
Your Felhunter regains 4% of its maximum mana each time it hits with its Shadow Bite ability and the cooldown on that ability is reduced by ${$m1/-1000} sec.  In addition, increases the effect of your Felhunter's Fel Intelligence by $s2%.	你的地狱猎犬在使用暗影咬合技能击中目标时会恢复4%的最大法力值，且该技能的冷却时间缩短${$m1/-1000}秒。此外，地狱猎犬的邪能智力效果提高$s2%。
Your Felhunter regains 8% of its maximum mana each time it hits with its Shadow Bite ability and the cooldown on that ability is reduced by ${$m1/-1000} sec.  In addition, increases the effect of your Felhunter's Fel Intelligence by $s2%.	你的地狱猎犬在使用暗影咬合技能击中目标时会恢复8%的最大法力值，且该技能的冷却时间缩短${$m1/-1000}秒。此外，地狱猎犬的邪能智力效果提高$s2%。
Causes $s1 Holy damage to any enemy that strikes a party or raid member within $a1 yards.  Players may only have one Aura on them per Paladin at any one time.	对击中$a1码范围内任何小队或团队成员的敌人造成$s1点神圣伤害。每个玩家同一时间只能获得一名圣骑士提供的一种光环效果。
Your pet can generate health and happiness by eating a corpse.  Will not work on the remains of elemental or mechanical creatures.	你的宠物可以通过吞噬尸体来恢复生命值和心情。对元素或机械生物的残骸无效。
Your Holy Shock critical hits reduce the cast time of your next Flash of Light by ${$54149m2/-1000}.1 sec or increase the critical chance of your next Holy Light by $s1%.	你的神圣震击造成的暴击使你的下一个圣光闪现的施法时间缩短${$54149m2/-1000}.1秒，或使你的下一个圣光术的暴击几率提高$s1%。
Increases the damage done by your Seal and Judgement spells by $s2%, and your Judgement spells increase your casting and melee haste by $53657s1% for $53657d.	使你的圣印和审判法术造成的伤害提高$s2%，且你的审判法术会使你的施法和近战急速提高$53657s1%，持续$53657d。
Increases the damage done by your Seal and Judgement spells by $54154s2%, and your Judgement spells increase your casting and melee haste by $54152s1% for $54152d.	使你的圣印和审判法术造成的伤害提高$54154s2%，且你的审判法术会使你的施法和近战急速提高$54152s1%，持续$54152d。
Increases the damage done by your Seal and Judgement spells by $54155s2%, and your Judgement spells increase your casting and melee haste by $54153s1% for $54153d.	使你的圣印和审判法术造成的伤害提高$54155s2%，且你的审判法术会使你的施法和近战急速提高$54153s1%，持续$54153d。
Increases the damage done by your Seal and Judgement spells by $s2%, and your Judgement spells increase your casting and melee haste by $54152s1% for $54152d.	使你的圣印和审判法术造成的伤害提高$s2%，且你的审判法术会使你的施法和近战急速提高$54152s1%，持续$54152d。
Increases the damage done by your Seal and Judgement spells by $s2%, and your Judgement spells increase your casting and melee haste by $54153s1% for $54153d.	使你的圣印和审判法术造成的伤害提高$s2%，且你的审判法术会使你的施法和近战急速提高$54153s1%，持续$54153d。
Allows the player to ride flying mounts in Northrend.	允许玩家在诺森德骑乘飞行坐骑。
Increases the damage done by your Imp by $s1%, and all critical hits done by your Imp have a $h% chance to increase your spell critical hit chance for your next spell by 100%. This effect lasts 8 sec.	使你的小鬼造成的伤害提高$s1%，且你的小鬼造成的每次暴击都有$h%的几率使你下一个法术的暴击几率提高100%。此效果持续8秒。
Reduces all damage taken by $s1% and reduces the fade time of your Invisibility spell by ${$m2/-1000} sec.	受到的所有伤害降低$s1%，且隐形术生效所需的时间缩短${$m2/-1000}秒。
You gain $o1% of your total mana over $d, but the amount healed by your Flash of Light, Holy Light, and Holy Shock spells is reduced by $s2%.	你在$d内恢复相当于总法力值$o1%的法力值，但你的圣光闪现、圣光术和神圣震击法术的治疗量降低$s2%。
